,forecast
0,0.008143179989352605
1,0.01002580947710596
2,0.00949697712472554
3,0.00947727672399379
4,0.005812641687199539
5,0.0115333100395224
6,0.00655470024382926
7,0.010703820821420471
8,0.0086478831242878
9,0.01427723820877456
10,0.005723154905047718
11,0.014248798445277428
12,0.016457838624786867
13,0.015204323519122386
14,0.009106120014448566
15,0.009321821818815629
16,0.0020924860785241956
17,-0.0019603177062390634
18,0.003190403254191504
19,-0.00034406942751218366
20,-0.0032124178825544375
21,0.004876207064010555
22,0.007970937864939754
23,-0.00020372786744791895
24,0.00623209947746477
25,0.004721005765880228
26,0.00037975659326089915
27,0.004254710180300506
28,0.003055385113386743
29,0.004909852378802191
30,0.003135658138736654
31,0.00505772511010348
32,0.0057382058487607315
33,0.002277141710723417
34,0.003935555611527555
35,0.005996105772100414
36,0.002681988744286706
37,0.01104503546642558
38,0.01370451330900703
39,0.005103362533423945
40,0.010205500182153935
41,0.007430167256618238
42,0.0133150942767049
43,0.021088814116143398
44,0.019346180728322615
45,0.007441851417310082
46,0.00430625250085266
47,-0.008335684095250581
48,-0.00947608251811416
49,-0.04451265803960558
50,0.004680190891973221
51,0.0013469989008121337
52,0.0073559614565856905
53,0.002970941390177374
54,0.013197355281838827
55,0.005702435246413937
56,0.004419634838821758
57,0.002665047418047435
58,0.0012666567845914256
59,0.00033382678137970374
60,-0.00014127442073484385
61,-0.0018921333580409112
62,0.006422831295012135
63,0.00233770449556906
64,0.006748390174571781
65,0.009722064127328971
66,0.004248483115591312
67,0.001321188305655411
68,-0.005584897585910228
69,0.003939772358701893
70,-0.00044113510748835345
71,0.0015754134671667097
72,0.003941773667373591
73,-0.0019565046518441862
74,-0.0031834450246313144
75,0.002350974907480135
76,0.0013195877518029852
77,0.003935046447485321
78,0.002021043465036295
79,0.009764776290843461
80,0.005064879254777292
81,0.0029444431083669137
82,0.011107120249012248
83,0.007944165669488822
84,0.00733143767465787
85,0.010165840090265787
86,0.007509721000995046
87,0.008772654856216519
88,0.003072947701729482
89,0.010758567282206276
90,0.0065972707520674575
91,0.002406782329094213
92,0.006450453148406798
93,-0.023483475142180923
94,-0.06915618432598981
95,0.04874322850163566
96,4.3851816816131054e-05
97,0.007345751203932259
98,0.023296251667052438
99,0.016868691811885148
100,0.01343760678282412
101,0.013983363954423508
102,0.00470209407304481
103,0.004317878881379427
104,-0.002522716747146346
105,-0.00214046295454268
106,-0.0009043534883255482
107,0.007308379092779638
108,-0.001364949728112098
